id,date,author_id,comments
1,2007-01-10,23,57
2,2007-01-25,45,53
3,2007-02-10,2,37
4,2007-03-01,46,20
5,2007-03-15,30,82
6,2007-04-01,17,17
7,2007-04-20,16,41
8,2007-05-08,31,21
9,2007-05-28,14,58
10,2007-06-18,45,47
11,2007-07-05,27,7
12,2007-07-25,30,16
13,2007-08-15,12,54
14,2007-09-02,26,71
15,2007-09-22,49,64
16,2007-10-10,4,96
17,2007-10-30,17,53
18,2007-11-18,34,21
19,2007-12-05,14,47
20,2007-12-20,2,12
21,2008-01-10,28,92
22,2008-01-25,50,64
23,2008-02-10,37,51
24,2008-03-01,5,92
25,2008-03-15,3,64
26,2008-04-01,9,31
27,2008-04-20,25,52
28,2008-05-08,44,80
29,2008-05-28,38,78
30,2008-06-18,38,89
31,2008-07-05,14,8
32,2008-07-25,36,93
33,2008-08-15,26,88
34,2008-09-02,9,42
35,2008-09-22,37,18
36,2008-10-10,24,20
37,2008-10-30,29,11
38,2008-11-18,14,95
39,2008-12-05,17,92
40,2008-12-20,37,4
41,2009-01-10,45,16
42,2009-01-25,41,81
43,2009-02-10,27,64
44,2009-03-01,45,47
45,2009-03-15,3,18
46,2009-04-01,42,5
47,2009-04-20,9,19
48,2009-05-08,31,52
49,2009-05-28,30,36
50,2009-06-18,23,20
51,2009-07-05,14,63
52,2009-07-25,5,51
53,2009-08-15,15,87
54,2009-09-02,39,41
55,2009-09-22,11,51
56,2009-10-10,9,48
57,2009-10-30,25,66
58,2009-11-18,41,20
59,2009-12-05,31,62
60,2010-01-25,23,44
61,2010-02-10,11,33
62,2010-03-05,38,45
63,2010-03-28,18,13
64,2010-04-15,13,59
65,2010-05-02,15,54
66,2010-06-10,19,39
67,2010-07-20,30,18
68,2010-08-05,35,9
69,2010-09-18,46,86
70,2010-10-08,26,63
71,2010-11-25,11,12
72,2010-12-15,20,4
73,2011-01-10,41,59
74,2011-01-25,43,75
75,2011-02-10,21,92
76,2011-03-01,3,47
77,2011-03-15,8,13
78,2011-04-01,27,11
79,2011-04-20,30,64
80,2011-05-08,35,78
81,2011-05-28,45,97
82,2011-06-18,15,97
83,2011-07-05,11,65
84,2011-07-25,4,45
85,2011-08-15,6,53
86,2011-09-02,30,71
87,2011-09-22,16,67
88,2011-10-10,24,62
89,2011-10-30,49,12
90,2011-11-18,33,87
91,2011-12-05,32,49
92,2011-12-20,32,39
93,2012-01-10,12,69
94,2012-01-25,12,67
95,2012-02-10,32,48
96,2012-03-01,38,76
97,2012-03-15,39,95
98,2012-04-01,23,95
99,2012-04-20,48,46
100,2012-05-08,39,31
101,2012-05-28,10,41
102,2012-06-18,33,8
103,2012-07-05,47,3
104,2012-07-25,20,73
105,2012-08-15,26,88
106,2012-09-02,23,86
107,2012-09-22,45,64
108,2012-10-10,28,92
109,2012-10-30,1,21
110,2012-11-18,9,26
111,2012-12-05,1,83
112,2012-12-20,11,2
113,2013-01-10,25,29
114,2013-01-25,32,17
115,2013-02-10,30,67
116,2013-03-01,10,67
117,2013-03-15,42,72
118,2013-04-01,43,32
119,2013-04-20,26,13
120,2013-05-08,2,62
121,2013-05-28,17,6
122,2013-06-18,44,91
123,2013-07-05,11,54
124,2013-07-25,44,32
125,2013-08-15,4,28
126,2013-09-02,25,57
127,2013-09-22,16,27
128,2013-10-10,46,49
129,2013-10-30,39,72
130,2013-11-18,13,61
131,2013-12-05,9,76
132,2014-01-25,16,11
133,2014-02-10,46,55
134,2014-03-05,17,72
135,2014-03-28,31,82
136,2014-04-15,3,55
137,2014-05-02,2,10
138,2014-06-10,33,85
139,2014-07-20,9,42
140,2014-08-05,36,27
141,2014-09-18,9,12
142,2014-10-08,48,88
143,2014-11-25,22,66
144,2015-01-10,35,64
145,2015-01-25,8,34
146,2015-02-10,3,66
147,2015-03-01,12,57
148,2015-03-15,42,47
149,2015-04-01,9,24
150,2015-04-20,17,87
151,2015-05-08,22,5
152,2015-05-28,16,77
153,2015-06-18,44,1
154,2015-07-05,2,9
155,2015-07-25,27,23
156,2015-08-15,10,57
157,2015-09-02,15,29
158,2015-09-22,11,37
159,2015-10-10,20,62
160,2015-10-30,7,41
161,2015-11-18,33,55
162,2015-12-05,4,87
163,2015-12-20,41,72
164,2016-01-10,45,64
165,2016-01-25,46,53
166,2016-02-10,45,81
167,2016-03-01,46,64
168,2016-03-15,4,65
169,2016-04-01,13,22
170,2016-04-20,39,22
171,2016-05-08,31,15
172,2016-05-28,12,18
173,2016-06-18,14,32
174,2016-07-05,15,25
175,2016-07-25,47,94
176,2016-08-15,21,61
177,2016-09-02,46,24
178,2016-09-22,3,67
179,2016-10-10,24,35
180,2016-10-30,11,91
181,2016-11-18,20,81
182,2016-12-05,49,36
183,2016-12-20,10,52
184,2017-01-10,23,38
185,2017-01-25,39,96
186,2017-02-10,46,2
187,2017-03-01,4,50
188,2017-03-15,46,86
189,2017-04-01,2,78
190,2017-04-20,19,39
191,2017-05-08,40,57
192,2017-05-28,37,22
193,2017-06-18,22,31
194,2017-07-05,26,53
195,2017-07-25,44,33
196,2017-08-15,42,24
197,2017-09-02,16,15
198,2017-09-22,17,95
199,2017-10-10,31,55
200,2017-10-30,1,98
201,2017-11-18,31,36
202,2017-12-05,17,96
203,2017-12-20,27,51
204,2018-01-10,49,39
205,2018-01-25,26,31
206,2018-02-10,46,60
207,2018-03-01,41,52
208,2018-03-15,44,5
209,2018-04-01,16,44
210,2018-04-20,47,17
211,2018-05-08,28,71
212,2018-05-28,14,20
213,2018-06-15,9,41
214,2018-07-05,43,72
215,2018-07-25,8,70
216,2018-08-15,28,88
217,2018-09-02,43,77
218,2018-09-22,33,16
219,2018-10-10,28,46
220,2018-10-30,28,26
221,2018-11-18,22,4
222,2018-12-05,13,39
223,2019-01-20,29,32
224,2019-02-15,24,41
225,2019-03-05,1,38
226,2019-03-28,36,16
227,2019-04-15,15,72
228,2019-05-02,12,88
229,2019-06-10,25,15
230,2019-07-20,23,94
231,2019-08-05,20,89
232,2019-09-18,39,63
233,2019-10-08,42,17
234,2019-11-25,16,79
235,2019-12-15,21,77
236,2014-12-15,9,86
237,2020-04-01,14,2
238,2020-04-15,5,52
239,2020-05-01,1,54
240,2020-05-15,16,10
241,2020-06-03,38,21
242,2020-06-18,11,53
243,2020-07-05,20,96
244,2020-07-20,40,35
245,2020-08-01,46,68
246,2020-08-15,29,84
247,2020-09-03,44,20
248,2020-09-18,23,35
249,2020-10-05,26,57
250,2020-10-20,46,1
251,2020-11-03,13,33
252,2020-11-18,5,40
253,2020-12-05,26,7
254,2020-12-20,44,95
255,2021-01-10,23,66
256,2021-01-25,16,32
257,2021-02-10,38,31
258,2021-03-01,33,88
259,2021-03-15,44,16
260,2021-04-01,10,9
261,2021-04-20,21,81
262,2021-05-08,13,78
263,2021-05-28,1,72
264,2021-06-15,19,31
265,2021-07-05,2,49
266,2021-07-25,29,35
267,2021-08-15,8,86
268,2021-09-02,36,6
269,2021-09-22,46,52
270,2021-10-10,50,57
271,2021-10-30,35,11
272,2021-11-18,32,7
273,2021-12-05,11,31
274,2022-01-20,2,40
275,2022-02-10,20,10
276,2022-03-28,45,8
277,2022-04-15,4,78
278,2022-05-02,35,68
279,2022-06-10,17,75
280,2022-07-20,34,14
281,2022-08-05,1,62
282,2022-09-18,34,52
283,2022-10-08,20,58
284,2022-11-25,22,96
285,2022-12-15,3,48
